Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Watt-hr,Current(A),Voltage(V),DPt Time,Temp 1,EV Temp
869,11,"5,577,759.47",  0d 00:24:00.05,599.9844,"2,270.36","1,499.8093",3.9397,1,30.18,0.0
869,11,"5,577,764.47",  0d 00:24:05.05,602.0677,"2,278.57","1,499.9619",3.9404,1,30.23,0.0
869,11,"5,577,769.47",  0d 00:24:10.05,604.1509,"2,286.77","1,499.8856",3.9413,1,30.18,0.0
869,11,"5,577,774.47",  0d 00:24:15.05,606.2341,"2,294.99","1,499.8856",3.9421,1,30.10,0.0
869,11,"5,577,779.47",  0d 00:24:20.05,608.3174,"2,303.20","1,500.0381",3.9432,1,30.13,0.0
869,11,"5,577,784.47",  0d 00:24:25.05,610.4006,"2,311.42","1,499.8093",3.9439,1,30.21,0.0
869,11,"5,577,789.47",  0d 00:24:30.05,612.4839,"2,319.63","1,499.9619",3.9448,1,30.21,0.0
869,11,"5,577,794.47",  0d 00:24:35.05,614.5671,"2,327.85","1,499.9619",3.9456,1,30.13,0.0
869,11,"5,577,799.47",  0d 00:24:40.05,616.6504,"2,336.07","1,499.9619",3.9465,1,30.12,0.0
869,11,"5,577,804.47",  0d 00:24:45.05,618.7336,"2,344.29","1,500.1144",3.9474,1,30.21,0.0
869,11,"5,577,809.47",  0d 00:24:50.05,620.8168,"2,352.52","1,499.8856",3.9483,1,30.24,0.0
869,11,"5,577,814.47",  0d 00:24:55.05,622.9001,"2,360.74","1,500.0381",3.9494,1,30.16,0.0
869,11,"5,577,819.47",  0d 00:25:00.05,624.9833,"2,368.97","1,500.0381",3.9502,1,30.12,0.0
869,11,"5,577,824.47",  0d 00:25:05.05,627.0666,"2,377.20","1,499.8856",3.9508,1,30.16,0.0
869,11,"5,577,829.47",  0d 00:25:10.05,629.1498,"2,385.43","1,500.0381",3.9517,1,30.23,0.0
869,11,"5,577,834.47",  0d 00:25:15.05,631.2330,"2,393.67","1,499.9619",3.9526,1,30.18,0.0
869,11,"5,577,839.47",  0d 00:25:20.05,633.3163,"2,401.90","1,499.8856",3.9535,1,30.10,0.0
869,11,"5,577,844.47",  0d 00:25:25.05,635.3995,"2,410.14","1,500.0381",3.9546,1,30.15,0.0
869,11,"5,577,849.47",  0d 00:25:30.05,637.4828,"2,418.38","1,500.0381",3.9554,1,30.24,0.0
869,11,"5,577,854.47",  0d 00:25:35.05,639.5660,"2,426.62","1,499.9619",3.9563,1,30.23,0.0
869,11,"5,577,859.47",  0d 00:25:40.05,641.6492,"2,434.86","1,500.0381",3.9572,1,30.12,0.0
869,11,"5,577,864.47",  0d 00:25:45.05,643.7325,"2,443.11","1,500.0381",3.9581,1,30.12,0.0
869,11,"5,577,869.47",  0d 00:25:50.05,645.8157,"2,451.35","1,499.8856",3.9589,1,30.21,0.0
869,11,"5,577,874.47",  0d 00:25:55.05,647.8990,"2,459.60","1,499.9619",3.9598,1,30.21,0.0
869,11,"5,577,879.47",  0d 00:26:00.05,649.9822,"2,467.85","1,499.8093",3.9610,1,30.21,0.0
869,11,"5,577,884.47",  0d 00:26:05.05,652.0654,"2,476.10","1,500.1144",3.9618,1,30.12,0.0
869,11,"5,577,889.47",  0d 00:26:10.05,654.1487,"2,484.36","1,499.9619",3.9627,1,30.20,0.0
869,11,"5,577,894.47",  0d 00:26:15.05,656.2319,"2,492.61","1,500.0381",3.9635,1,30.26,0.0
869,11,"5,577,899.47",  0d 00:26:20.05,658.3152,"2,500.87","1,499.8856",3.9645,1,30.23,0.0
869,11,"5,577,904.47",  0d 00:26:25.05,660.3984,"2,509.13","1,499.8856",3.9654,1,30.13,0.0
869,11,"5,577,909.47",  0d 00:26:30.05,662.4816,"2,517.39","1,499.9619",3.9664,1,30.18,0.0
869,11,"5,577,914.47",  0d 00:26:35.05,664.5649,"2,525.66","1,500.0381",3.9673,1,30.24,0.0
869,11,"5,577,919.47",  0d 00:26:40.05,666.6481,"2,533.92","1,500.0381",3.9685,1,30.23,0.0
869,11,"5,577,924.47",  0d 00:26:45.05,668.7314,"2,542.19","1,500.0381",3.9693,1,30.15,0.0
869,11,"5,577,929.47",  0d 00:26:50.05,670.8146,"2,550.46","1,499.8856",3.9700,1,30.15,0.0
869,11,"5,577,934.47",  0d 00:26:55.05,672.8978,"2,558.73","1,499.9619",3.9711,1,30.23,0.0
869,11,"5,577,939.47",  0d 00:27:00.05,674.9811,"2,567.00","1,499.9619",3.9720,1,30.26,0.0
869,11,"5,577,944.47",  0d 00:27:05.05,677.0643,"2,575.28","1,499.8856",3.9731,1,30.18,0.0
869,11,"5,577,949.47",  0d 00:27:10.05,679.1476,"2,583.56","1,499.8093",3.9738,1,30.13,0.0
869,11,"5,577,954.47",  0d 00:27:15.05,681.2308,"2,591.84","1,499.7330",3.9746,1,30.21,0.0
869,11,"5,577,959.47",  0d 00:27:20.05,683.3140,"2,600.12","1,500.0381",3.9761,1,30.26,0.0
869,11,"5,577,964.47",  0d 00:27:25.05,685.3973,"2,608.40","1,499.9619",3.9769,1,30.21,0.0
869,11,"5,577,969.47",  0d 00:27:30.05,687.4805,"2,616.69","1,500.1907",3.9778,1,30.13,0.0
869,11,"5,577,974.47",  0d 00:27:35.05,689.5638,"2,624.98","1,500.1144",3.9790,1,30.18,0.0
869,11,"5,577,979.47",  0d 00:27:40.05,691.6470,"2,633.27","1,499.9619",3.9799,1,30.26,0.0
869,11,"5,577,984.47",  0d 00:27:45.05,693.7302,"2,641.56","1,499.7330",3.9807,1,30.24,0.0
869,11,"5,577,989.47",  0d 00:27:50.05,695.8135,"2,649.85","1,499.8093",3.9816,1,30.13,0.0
869,11,"5,577,994.47",  0d 00:27:55.05,697.8967,"2,658.15","1,499.9619",3.9830,1,30.13,0.0
869,11,"5,577,999.47",  0d 00:28:00.05,699.9800,"2,666.45","1,499.7330",3.9841,1,30.21,0.0
869,11,"5,578,004.47",  0d 00:28:05.05,702.0632,"2,674.75","1,499.9619",3.9850,1,30.23,0.0
869,11,"5,578,009.47",  0d 00:28:10.05,704.1464,"2,683.05","1,499.8856",3.9856,1,30.13,0.0
869,11,"5,578,014.47",  0d 00:28:15.05,706.2297,"2,691.35","1,499.8856",3.9868,1,30.10,0.0
869,11,"5,578,019.47",  0d 00:28:20.05,708.3129,"2,699.66","1,499.9619",3.9879,1,30.20,0.0
869,11,"5,578,024.47",  0d 00:28:25.05,710.3962,"2,707.97","1,500.0381",3.9886,1,30.24,0.0
869,11,"5,578,029.47",  0d 00:28:30.05,712.4794,"2,716.28","1,499.8856",3.9895,1,30.20,0.0
869,11,"5,578,034.47",  0d 00:28:35.05,714.5626,"2,724.59","1,499.7330",3.9909,1,30.12,0.0
869,11,"5,578,039.47",  0d 00:28:40.05,716.6459,"2,732.91","1,499.8093",3.9918,1,30.18,0.0
869,11,"5,578,044.47",  0d 00:28:45.05,718.7291,"2,741.22","1,499.9619",3.9929,1,30.24,0.0
869,11,"5,578,049.47",  0d 00:28:50.05,720.8124,"2,749.54","1,500.0381",3.9941,1,30.21,0.0
869,11,"5,578,054.47",  0d 00:28:55.05,722.8956,"2,757.87","1,499.8093",3.9950,1,30.13,0.0
869,11,"5,578,059.47",  0d 00:29:00.05,724.9788,"2,766.19","1,499.8856",3.9958,1,30.15,0.0
869,11,"5,578,064.47",  0d 00:29:05.05,727.0621,"2,774.51","1,499.9619",3.9972,1,30.23,0.0
869,11,"5,578,069.47",  0d 00:29:10.05,729.1453,"2,782.84","1,500.0381",3.9982,1,30.24,0.0
869,11,"5,578,074.47",  0d 00:29:15.05,731.2286,"2,791.17","1,499.8093",3.9993,1,30.16,0.0
869,11,"5,578,079.47",  0d 00:29:20.05,733.3118,"2,799.50","1,500.0381",4.0002,1,30.13,0.0
869,11,"5,578,084.47",  0d 00:29:25.05,735.3951,"2,807.84","1,499.8856",4.0013,1,30.21,0.0
869,11,"5,578,089.47",  0d 00:29:30.05,737.4783,"2,816.18","1,499.8856",4.0024,1,30.26,0.0
869,11,"5,578,094.47",  0d 00:29:35.05,739.5615,"2,824.51","1,499.8856",4.0033,1,30.18,0.0
869,11,"5,578,099.47",  0d 00:29:40.05,741.6448,"2,832.86","1,500.1144",4.0047,1,30.10,0.0
869,11,"5,578,104.47",  0d 00:29:45.05,743.7280,"2,841.20","1,499.9619",4.0057,1,30.16,0.0
869,11,"5,578,109.47",  0d 00:29:50.05,745.8113,"2,849.54","1,499.6567",4.0065,1,30.24,0.0
869,11,"5,578,114.47",  0d 00:29:55.05,747.8945,"2,857.89","1,499.9619",4.0074,1,30.24,0.0
869,11,"5,578,119.47",  0d 00:30:00.05,749.9777,"2,866.24","1,499.8093",4.0088,1,30.13,0.0
869,11,"5,578,124.47",  0d 00:30:05.05,752.0610,"2,874.59","1,499.8856",4.0097,1,30.13,0.0
869,11,"5,578,129.47",  0d 00:30:10.05,754.1442,"2,882.95","1,499.8856",4.0108,1,30.21,0.0
869,11,"5,578,134.47",  0d 00:30:15.05,756.2275,"2,891.31","1,499.8856",4.0120,1,30.24,0.0
869,11,"5,578,139.47",  0d 00:30:20.05,758.3107,"2,899.66","1,499.8856",4.0132,1,30.15,0.0
869,11,"5,578,144.47",  0d 00:30:25.05,760.3939,"2,908.03","1,499.5804",4.0140,1,30.13,0.0
869,11,"5,578,149.47",  0d 00:30:30.05,762.4772,"2,916.39","1,499.8856",4.0153,1,30.20,0.0
869,11,"5,578,154.47",  0d 00:30:35.05,764.5604,"2,924.76","1,499.8856",4.0164,1,30.23,0.0
869,11,"5,578,159.47",  0d 00:30:40.05,766.6437,"2,933.12","1,499.8856",4.0173,1,30.18,0.0
869,11,"5,578,164.47",  0d 00:30:45.05,768.7269,"2,941.49","1,500.1144",4.0184,1,30.10,0.0
869,11,"5,578,169.47",  0d 00:30:50.05,770.8101,"2,949.87","1,500.0381",4.0198,1,30.16,0.0
869,11,"5,578,174.47",  0d 00:30:55.05,772.8934,"2,958.24","1,499.9619",4.0207,1,30.24,0.0
869,11,"5,578,179.47",  0d 00:31:00.05,774.9766,"2,966.62","1,499.9619",4.0220,1,30.23,0.0
869,11,"5,578,184.47",  0d 00:31:05.05,777.0599,"2,975.00","1,499.8856",4.0233,1,30.13,0.0
869,11,"5,578,189.47",  0d 00:31:10.05,779.1431,"2,983.38","1,499.8093",4.0242,1,30.15,0.0
869,11,"5,578,194.47",  0d 00:31:15.05,781.2263,"2,991.77","1,499.9619",4.0251,1,30.23,0.0
869,11,"5,578,199.47",  0d 00:31:20.05,783.3096,"3,000.15","1,499.8093",4.0268,1,30.24,0.0
869,11,"5,578,204.47",  0d 00:31:25.05,785.3928,"3,008.54","1,499.6567",4.0280,1,30.15,0.0
869,11,"5,578,209.47",  0d 00:31:30.05,787.4761,"3,016.94","1,499.9619",4.0289,1,30.12,0.0
869,11,"5,578,214.47",  0d 00:31:35.05,789.5593,"3,025.33","1,499.8856",4.0301,1,30.20,0.0
869,11,"5,578,219.47",  0d 00:31:40.05,791.6426,"3,033.73","1,499.8856",4.0314,1,30.24,0.0
869,11,"5,578,224.47",  0d 00:31:45.05,793.7258,"3,042.13","1,500.1144",4.0323,1,30.18,0.0
869,11,"5,578,229.47",  0d 00:31:50.05,795.8090,"3,050.53","1,499.9619",4.0338,1,30.12,0.0
869,11,"5,578,234.47",  0d 00:31:55.05,797.8923,"3,058.93","1,500.1144",4.0346,1,30.18,0.0
869,11,"5,578,239.47",  0d 00:32:00.05,799.9755,"3,067.34","1,499.8093",4.0358,1,30.24,0.0
869,11,"5,578,244.47",  0d 00:32:05.05,802.0588,"3,075.75","1,500.0381",4.0372,1,30.23,0.0
869,11,"5,578,249.47",  0d 00:32:10.05,804.1420,"3,084.16","1,500.1907",4.0382,1,30.18,0.0
869,11,"5,578,254.47",  0d 00:32:15.05,806.2252,"3,092.57","1,499.8856",4.0394,1,30.20,0.0
869,11,"5,578,259.47",  0d 00:32:20.05,808.3085,"3,100.99","1,499.8856",4.0404,1,30.28,0.0
869,11,"5,578,264.47",  0d 00:32:25.05,810.3917,"3,109.41","1,499.8093",4.0419,1,30.29,0.0
869,11,"5,578,269.47",  0d 00:32:30.05,812.4750,"3,117.83","1,499.8856",4.0431,1,30.20,0.0
869,11,"5,578,274.47",  0d 00:32:35.05,814.5582,"3,126.25","1,499.9619",4.0442,1,30.16,0.0
869,11,"5,578,279.47",  0d 00:32:40.05,816.6414,"3,134.68","1,500.0381",4.0454,1,30.24,0.0
869,11,"5,578,284.47",  0d 00:32:45.05,818.7247,"3,143.11","1,499.8856",4.0466,1,30.31,0.0
869,11,"5,578,289.47",  0d 00:32:50.05,820.8079,"3,151.54","1,499.9619",4.0477,1,30.26,0.0
869,11,"5,578,294.47",  0d 00:32:55.05,822.8912,"3,159.97","1,500.0381",4.0491,1,30.18,0.0
869,11,"5,578,299.47",  0d 00:33:00.05,824.9744,"3,168.41","1,499.7330",4.0504,1,30.23,0.0
869,11,"5,578,304.47",  0d 00:33:05.05,827.0577,"3,176.85","1,500.1144",4.0515,1,30.29,0.0
869,11,"5,578,309.47",  0d 00:33:10.05,829.1409,"3,185.29","1,500.0381",4.0527,1,30.28,0.0
869,11,"5,578,314.47",  0d 00:33:15.05,831.2241,"3,193.73","1,499.9619",4.0538,1,30.16,0.0
869,11,"5,578,319.47",  0d 00:33:20.05,833.3074,"3,202.18","1,499.8856",4.0553,1,30.20,0.0
869,11,"5,578,324.47",  0d 00:33:25.05,835.3906,"3,210.63","1,499.9619",4.0562,1,30.26,0.0
869,11,"5,578,329.47",  0d 00:33:30.05,837.4739,"3,219.08","1,499.9619",4.0575,1,30.26,0.0
869,11,"5,578,334.47",  0d 00:33:35.05,839.5571,"3,227.53","1,499.8856",4.0585,1,30.18,0.0
869,11,"5,578,339.47",  0d 00:33:40.05,841.6403,"3,235.99","1,499.8856",4.0599,1,30.15,0.0
869,11,"5,578,344.47",  0d 00:33:45.05,843.7236,"3,244.45","1,500.0381",4.0611,1,30.24,0.0
869,11,"5,578,349.47",  0d 00:33:50.05,845.8068,"3,252.91","1,499.9619",4.0622,1,30.29,0.0
869,11,"5,578,354.47",  0d 00:33:55.05,847.8901,"3,261.38","1,499.8093",4.0634,1,30.23,0.0
869,11,"5,578,359.47",  0d 00:34:00.05,849.9733,"3,269.84","1,499.9619",4.0646,1,30.16,0.0
869,11,"5,578,364.47",  0d 00:34:05.05,852.0565,"3,278.31","1,499.9619",4.0658,1,30.21,0.0
869,11,"5,578,369.47",  0d 00:34:10.05,854.1398,"3,286.78","1,500.1144",4.0671,1,30.29,0.0
869,11,"5,578,374.47",  0d 00:34:15.05,856.2230,"3,295.26","1,499.9619",4.0680,1,30.28,0.0
869,11,"5,578,379.47",  0d 00:34:20.05,858.3063,"3,303.73","1,499.9619",4.0695,1,30.18,0.0
869,11,"5,578,384.47",  0d 00:34:25.05,860.3895,"3,312.21","1,500.1144",4.0707,1,30.20,0.0
869,11,"5,578,389.47",  0d 00:34:30.05,862.4727,"3,320.69","1,499.8856",4.0718,1,30.29,0.0
869,11,"5,578,394.47",  0d 00:34:35.05,864.5560,"3,329.17","1,499.9619",4.0726,1,30.29,0.0
869,11,"5,578,399.47",  0d 00:34:40.05,866.6392,"3,337.66","1,499.9619",4.0741,1,30.21,0.0
869,11,"5,578,404.47",  0d 00:34:45.05,868.7225,"3,346.15","1,500.0381",4.0750,1,30.16,0.0
869,11,"5,578,409.47",  0d 00:34:50.05,870.8057,"3,354.64","1,500.0381",4.0759,1,30.24,0.0
869,11,"5,578,414.47",  0d 00:34:55.05,872.8889,"3,363.13","1,499.8856",4.0771,1,30.28,0.0
869,11,"5,578,419.47",  0d 00:35:00.05,874.9722,"3,371.62","1,499.9619",4.0780,1,30.21,0.0
869,11,"5,578,424.47",  0d 00:35:05.05,877.0554,"3,380.12","1,500.0381",4.0790,1,30.15,0.0
869,11,"5,578,429.47",  0d 00:35:10.05,879.1387,"3,388.62","1,499.8856",4.0802,1,30.20,0.0
869,11,"5,578,434.47",  0d 00:35:15.05,881.2219,"3,397.12","1,500.0381",4.0814,1,30.28,0.0
869,11,"5,578,439.47",  0d 00:35:20.05,883.3051,"3,405.62","1,499.9619",4.0822,1,30.26,0.0
869,11,"5,578,444.47",  0d 00:35:25.05,885.3884,"3,414.13","1,499.8856",4.0832,1,30.16,0.0
869,11,"5,578,449.47",  0d 00:35:30.05,887.4716,"3,422.64","1,500.0381",4.0842,1,30.18,0.0
869,11,"5,578,454.47",  0d 00:35:35.05,889.5549,"3,431.15","1,499.8856",4.0854,1,30.26,0.0
869,11,"5,578,459.47",  0d 00:35:40.05,891.6381,"3,439.66","1,499.9619",4.0860,1,30.26,0.0
869,11,"5,578,464.47",  0d 00:35:45.05,893.7214,"3,448.17","1,500.1144",4.0871,1,30.18,0.0
869,11,"5,578,469.47",  0d 00:35:50.05,895.8046,"3,456.69","1,499.9619",4.0878,1,30.16,0.0
869,11,"5,578,474.47",  0d 00:35:55.05,897.8878,"3,465.20","1,499.8856",4.0887,1,30.24,0.0
869,11,"5,578,479.47",  0d 00:36:00.05,899.9711,"3,473.72","1,499.8856",4.0898,1,30.28,0.0
869,11,"5,578,484.47",  0d 00:36:05.05,902.0543,"3,482.24","1,500.0381",4.0906,1,30.20,0.0
869,11,"5,578,489.47",  0d 00:36:10.05,904.1376,"3,490.77","1,499.9619",4.0916,1,30.13,0.0
869,11,"5,578,494.47",  0d 00:36:15.05,906.2208,"3,499.29","1,499.8856",4.0924,1,30.18,0.0
869,11,"5,578,499.47",  0d 00:36:20.05,908.3040,"3,507.82","1,499.8093",4.0933,1,30.24,0.0
869,11,"5,578,504.47",  0d 00:36:25.05,910.3873,"3,516.35","1,499.9619",4.0941,1,30.20,0.0
869,11,"5,578,509.47",  0d 00:36:30.05,912.4705,"3,524.88","1,499.8856",4.0948,1,30.12,0.0
869,11,"5,578,514.47",  0d 00:36:35.05,914.5538,"3,533.41","1,500.1144",4.0961,1,30.15,0.0
869,11,"5,578,519.47",  0d 00:36:40.05,916.6370,"3,541.94","1,499.8856",4.0968,1,30.23,0.0
869,11,"5,578,524.47",  0d 00:36:45.05,918.7202,"3,550.48","1,500.0381",4.0977,1,30.21,0.0
869,11,"5,578,529.47",  0d 00:36:50.05,920.8035,"3,559.01","1,499.8856",4.0985,1,30.12,0.0
869,11,"5,578,534.47",  0d 00:36:55.05,922.8867,"3,567.55","1,499.8093",4.0994,1,30.10,0.0
869,11,"5,578,539.47",  0d 00:37:00.05,924.9700,"3,576.09","1,499.9619",4.1002,1,30.20,0.0
869,11,"5,578,544.47",  0d 00:37:05.05,927.0532,"3,584.64","1,499.9619",4.1014,1,30.21,0.0
869,11,"5,578,549.47",  0d 00:37:10.05,929.1365,"3,593.18","1,500.0381",4.1019,1,30.15,0.0
869,11,"5,578,554.47",  0d 00:37:15.05,931.2197,"3,601.73","1,499.9619",4.1028,1,30.10,0.0
869,11,"5,578,559.47",  0d 00:37:20.05,933.3029,"3,610.28","1,500.1144",4.1038,1,30.18,0.0
869,11,"5,578,564.47",  0d 00:37:25.05,935.3862,"3,618.83","1,499.9619",4.1044,1,30.23,0.0
869,11,"5,578,569.47",  0d 00:37:30.05,937.4694,"3,627.38","1,499.8856",4.1057,1,30.18,0.0
869,11,"5,578,574.47",  0d 00:37:35.05,939.5527,"3,635.93","1,500.1144",4.1067,1,30.08,0.0
869,11,"5,578,579.47",  0d 00:37:40.05,941.6359,"3,644.49","1,499.9619",4.1073,1,30.10,0.0
869,11,"5,578,584.47",  0d 00:37:45.05,943.7191,"3,653.05","1,499.9619",4.1081,1,30.18,0.0
869,11,"5,578,589.47",  0d 00:37:50.05,945.8024,"3,661.61","1,499.9619",4.1089,1,30.18,0.0
869,11,"5,578,594.47",  0d 00:37:55.05,947.8856,"3,670.17","1,499.9619",4.1102,1,30.10,0.0
869,11,"5,578,599.47",  0d 00:38:00.05,949.9689,"3,678.73","1,499.9619",4.1112,1,30.07,0.0
869,11,"5,578,604.47",  0d 00:38:05.05,952.0521,"3,687.29","1,499.8856",4.1118,1,30.15,0.0
869,11,"5,578,609.47",  0d 00:38:10.05,954.1353,"3,695.86","1,499.9619",4.1127,1,30.16,0.0
869,11,"5,578,614.47",  0d 00:38:15.05,956.2186,"3,704.43","1,499.9619",4.1135,1,30.10,0.0
869,11,"5,578,619.47",  0d 00:38:20.05,958.3018,"3,713.00","1,499.8856",4.1145,1,30.07,0.0
869,11,"5,578,624.47",  0d 00:38:25.05,960.3851,"3,721.57","1,500.0381",4.1151,1,30.13,0.0
869,11,"5,578,629.47",  0d 00:38:30.05,962.4683,"3,730.15","1,499.8856",4.1165,1,30.18,0.0
869,11,"5,578,634.47",  0d 00:38:35.05,964.5515,"3,738.72","1,500.0381",4.1171,1,30.13,0.0
869,11,"5,578,639.47",  0d 00:38:40.05,966.6348,"3,747.30","1,500.0381",4.1183,1,30.04,0.0
869,11,"5,578,644.47",  0d 00:38:45.05,968.7180,"3,755.88","1,499.9619",4.1192,1,30.07,0.0
869,11,"5,578,649.47",  0d 00:38:50.05,970.8013,"3,764.46","1,499.7330",4.1200,1,30.15,0.0
869,11,"5,578,654.47",  0d 00:38:55.05,972.8845,"3,773.05","1,500.0381",4.1209,1,30.15,0.0
869,11,"5,578,659.47",  0d 00:39:00.05,974.9677,"3,781.63","1,499.7330",4.1220,1,30.05,0.0
869,11,"5,578,664.47",  0d 00:39:05.05,977.0510,"3,790.22","1,499.8856",4.1231,1,30.04,0.0
869,11,"5,578,669.47",  0d 00:39:10.05,979.1342,"3,798.81","1,499.9619",4.1240,1,30.13,0.0
869,11,"5,578,674.47",  0d 00:39:15.05,981.2175,"3,807.40","1,499.9619",4.1250,1,30.16,0.0
869,11,"5,578,679.47",  0d 00:39:20.05,983.3007,"3,816.00","1,500.0381",4.1260,1,30.08,0.0
869,11,"5,578,684.47",  0d 00:39:25.05,985.3839,"3,824.59","1,500.0381",4.1269,1,30.02,0.0
869,11,"5,578,689.47",  0d 00:39:30.05,987.4672,"3,833.19","1,499.8856",4.1278,1,30.08,0.0
869,11,"5,578,694.47",  0d 00:39:35.05,989.5504,"3,841.79","1,499.8856",4.1290,1,30.15,0.0
869,11,"5,578,699.47",  0d 00:39:40.05,991.6337,"3,850.40","1,500.1144",4.1296,1,30.10,0.0
869,11,"5,578,704.47",  0d 00:39:45.05,993.7169,"3,859.00","1,500.1144",4.1310,1,30.02,0.0
869,11,"5,578,709.47",  0d 00:39:50.05,995.8001,"3,867.61","1,499.9619",4.1318,1,30.05,0.0
869,11,"5,578,714.47",  0d 00:39:55.05,997.8834,"3,876.22","1,499.8856",4.1330,1,30.12,0.0
869,11,"5,578,719.47",  0d 00:40:00.05,999.9666,"3,884.83","1,499.8856",4.1339,1,30.12,0.0
869,11,"5,578,724.47",  0d 00:40:05.05,"1,002.0499","3,893.44","1,499.9619",4.1350,1,30.02,0.0
869,11,"5,578,729.47",  0d 00:40:10.05,"1,004.1331","3,902.05","1,499.9619",4.1360,1,30.00,0.0
869,11,"5,578,734.47",  0d 00:40:15.05,"1,006.2163","3,910.67","1,499.9619",4.1371,1,30.08,0.0
869,11,"5,578,739.47",  0d 00:40:20.05,"1,008.2996","3,919.29","1,499.7330",4.1382,1,30.12,0.0
869,11,"5,578,744.47",  0d 00:40:25.05,"1,010.3828","3,927.91","1,499.8856",4.1392,1,30.04,0.0
869,11,"5,578,749.47",  0d 00:40:30.05,"1,012.4661","3,936.54","1,499.8093",4.1403,1,29.99,0.0
869,11,"5,578,754.47",  0d 00:40:35.05,"1,014.5493","3,945.16","1,499.9619",4.1412,1,30.05,0.0
869,11,"5,578,759.47",  0d 00:40:40.05,"1,016.6325","3,953.79","1,499.8093",4.1426,1,30.10,0.0
869,11,"5,578,764.47",  0d 00:40:45.05,"1,018.7158","3,962.42","1,500.0381",4.1437,1,30.05,0.0
869,11,"5,578,769.47",  0d 00:40:50.05,"1,020.7990","3,971.06","1,499.8856",4.1447,1,29.97,0.0
869,11,"5,578,774.47",  0d 00:40:55.05,"1,022.8823","3,979.69","1,500.1144",4.1460,1,30.00,0.0
869,11,"5,578,779.47",  0d 00:41:00.05,"1,024.9655","3,988.33","1,499.8856",4.1472,1,30.08,0.0
869,11,"5,578,784.47",  0d 00:41:05.05,"1,027.0487","3,996.97","1,499.9619",4.1484,1,30.08,0.0
869,11,"5,578,789.47",  0d 00:41:10.05,"1,029.1320","4,005.61","1,499.9619",4.1495,1,29.99,0.0
869,11,"5,578,794.47",  0d 00:41:15.05,"1,031.2152","4,014.26","1,499.8856",4.1508,1,29.97,0.0
869,11,"5,578,799.47",  0d 00:41:20.05,"1,033.2985","4,022.91","1,499.8856",4.1519,1,30.07,0.0
869,11,"5,578,804.47",  0d 00:41:25.05,"1,035.3817","4,031.56","1,499.9619",4.1530,1,30.08,0.0
869,11,"5,578,809.47",  0d 00:41:30.05,"1,037.4650","4,040.21","1,500.1144",4.1543,1,30.02,0.0
